Open,High,Low,Close,Volume,Dividends,Stock Splits
35246.94921875,35855.6015625,35237.19921875,35688.25,26700,0.0,0.0
35902.8984375,36149.8984375,35683.8984375,36116.8984375,33800,0.0,0.0
36299.3984375,36911.94921875,36290.80078125,36855.3984375,40400,0.0,0.0
36937.94921875,36939.8515625,36525.3984375,36679.5,33100,0.0,0.0
36392.05078125,36503.0,35957.30078125,36301.25,25000,0.0,0.0
36285.19921875,36406.44921875,36138.19921875,36375.19921875,21400,0.0,0.0
36294.69921875,36312.94921875,35914.3515625,35975.19921875,24200,0.0,0.0
36062.19921875,37116.5,36024.44921875,37044.6484375,44600,0.0,0.0
37228.05078125,37278.75,36964.3515625,37043.30078125,26300,0.0,0.0
36930.25,37096.25,36761.55078125,36885.3515625,28500,0.0,0.0
37084.6484375,37554.3515625,36951.80078125,37037.94921875,63800,0.0,0.0
37112.1015625,37124.55078125,36727.3515625,36826.8984375,25900,0.0,0.0
36881.94921875,37407.0,36881.1015625,37364.6015625,23300,0.0,0.0
37487.6484375,37668.55078125,37208.25,37446.30078125,22500,0.0,0.0
37488.5,37554.6015625,37323.44921875,37405.5,18500,0.0,0.0
37476.6015625,37659.75,37413.0,37549.75,16400,0.0,0.0
37559.3984375,37734.3515625,37418.5,37541.25,23200,0.0,0.0
37530.8515625,38007.30078125,37515.0,37825.25,40900,0.0,0.0
37875.69921875,38471.6015625,37847.69921875,38360.25,39900,0.0,0.0
38500.6015625,38920.6015625,38369.55078125,38703.6484375,32300,0.0,0.0
38783.3984375,38937.3515625,38322.44921875,38590.69921875,28400,0.0,0.0
38438.5,38463.94921875,37908.8984375,38130.6015625,26000,0.0,0.0
38273.75,38300.5,37745.25,37789.8984375,18900,0.0,0.0
37925.94921875,38136.44921875,37672.3984375,38097.0,18800,0.0,0.0
38203.8515625,38300.30078125,37901.75,38274.75,13900,0.0,0.0
38125.94921875,38410.69921875,38042.94921875,38386.30078125,13600,0.0,0.0
38262.30078125,38293.3984375,37946.75,38062.5,14700,0.0,0.0
37996.94921875,38367.8515625,37969.44921875,38172.05078125,14800,0.0,0.0
38273.6015625,38667.3515625,38248.75,38633.3515625,23500,0.0,0.0
38991.30078125,39054.3515625,38590.25,38691.6015625,38500,0.0,0.0
39023.25,39530.25,39006.3984375,39488.0,45600,0.0,0.0
39395.80078125,39398.1484375,38942.3515625,39173.69921875,24100,0.0,0.0
39084.8984375,39098.8984375,38901.05078125,38974.80078125,15800,0.0,0.0
38921.6484375,39019.94921875,38495.3984375,38572.30078125,12400,0.0,0.0
38622.6015625,38721.69921875,38206.75,38282.69921875,21200,0.0,0.0
38281.55078125,38281.55078125,37906.6015625,37998.6015625,32700,0.0,0.0
38051.69921875,38108.5,37822.1484375,37884.05078125,20900,0.0,0.0
38251.3515625,38359.0,38085.3984375,38320.30078125,16400,0.0,0.0
38222.0,38260.8515625,37365.8984375,37771.1484375,22000,0.0,0.0
37712.05078125,38053.1015625,37680.69921875,37977.3984375,16600,0.0,0.0
37951.30078125,38736.80078125,37940.8515625,38688.80078125,25100,0.0,0.0
38686.55078125,38728.6484375,37853.75,37920.30078125,24900,0.0,0.0
37861.25,38244.55078125,37861.1484375,38027.19921875,20800,0.0,0.0
37938.6015625,38079.6015625,37573.1015625,37988.25,20200,0.0,0.0
38227.8515625,38394.3984375,37777.75,38236.6015625,33700,0.0,0.0
38127.19921875,38295.75,37649.1484375,37822.69921875,23600,0.0,0.0
38433.3515625,39139.5,38390.5,39086.6484375,48900,0.0,0.0
